"Spolek","IČO","ID datové schránky"
"Pionýr, z.s . - Pionýrská skupina Za Vodou",75142571,ae5ujk5
"Pionýr, z.s. - 5. pionýrská skupina S.T.O. Jiřího Wolkera",64328643,cr2jjxc
"Pionýr, z.s. - 17. pionýrská skupina Karviná",67340938,khfnb7r
"Pionýr, z.s. - pionýrská skupina Modřice",07828691,mrzap64
"Pionýr, z.s. - Pionýrská skupina PC ""Florbalová akademie MB - výcvikové středisko florbalu Středočeského kraje""",68406690,wex2p38
"Pionýr, z.s. - Pionýrská skupina Počaply",47559896,c852pqn
"Pionýr, z.s. - Pionýrská skupina Safír Kdyně",65571614,exk797u
"Pionýr, z.s. - Pionýrská skupina Svidník",65983629,yebcqza
"Pionýr, z.s. - Pionýrská skupina  Zouvalka",44016247,tdzs8dp
"Pionýr, z.s. - Pionýrská skupina Štětí",68983905,6vqxv8w
"Pionýr, z. s . - Pionýrská skupina Starý Plzenec",49182099,mpmw3yb
"Pionýr, z. s. - 2. pionýrská skupina Klíč",65995830,m64b8ac
"Pionýr, z. s. - 3. Pionýrská skupina",68974701,r6bxci4
"Pionýr, z. s. - 5. pionýrská skupina Děčín",64707008,p5b2jc7
"Pionýr, z. s. - 6. pionýrská skupina Kolín",68997159,vaswfuk
"Pionýr, z. s. - 7. pionýrská skupina Borač",64329241,8s4pdfa
"Pionýr, z. s. - 7. pionýrská skupina Děčín",69388024,mwsh5fj
"Pionýr, z. s. - 8. pionýrská skupina Příbram",68420048,z22fbwn
"Pionýr, z. s. - 14.pionýrská skupina  Aljaška",63782910,dkqcigd
"Pionýr, z. s. - 30. pionýrská skupina Mládí",62158155,3j4yy93
"Pionýr, z. s. - 32. pionýrská skupina Galaxie",01514563,6g7ya9r
"Pionýr, z. s. - 43. pionýrská skupina Vinohrady",64328538,7f6jh3t
"Pionýr, z. s. - 45. pionýrská skupina Praha 6",67983651,pqkbp99
"Pionýr, z. s. - 49. pionýrská skupina Kočovníci",66005752,s4s5ecn
"Pionýr, z. s. - 52. pionýrská skupina Slunovrat",64329364,cab8usp
"Pionýr, z. s. - 63. pionýrská skupina  SOSNA Praha 8",66001081,usm3458
"Pionýr, z. s. - 68. pionýrská skupina Lvíčata",66001072,xjrb4yb
"Pionýr, z. s. - 78. pionýrská skupina Skalka",69057737,aex99ix
"Pionýr, z. s. - 87. pionýrská skupina Javor",00499188,44w72h6
"Pionýr, z. s. - 93. pionýrská skupina ORION",67799396,kz32ep9
"Pionýr, z. s. - 96. pionýrská skupina Veselí Medvědi",68407114,u2n2b5i
"Pionýr, z. s. - 104. pionýrská skupina Fregata",63112221,vtt6e5f
"Pionýr, z. s. - 117. pionýrská skupina Kalich",69057192,cwedwmb
"Pionýr, z. s. - 121. pionýrská skupina Bor",45248966,ujmjwwc
"Pionýr, z. s. - 143. pionýrská skupina Jana Nerudy",69057371,rb5wtb2
"Pionýr, z. s. - 147. pionýrská skupina Galaxie",68402279,ymncu55
"Pionýr, z. s. - 160. pionýrská skupina Vampoš",49278070,mn9kex5
"Pionýr, z. s. - 188. pionýrská skupina T.O.Bobříci",63839709,gdyvcif
"Pionýr, z. s. - 213. pionýrská skupina UFO",67982557,i4u5pi7
"Pionýr, z. s. - 241. pionýrská skupina Ledňáček",00506133,8bxejfs
"Pionýr, z. s. - Jihomoravská krajská organizace Pionýra",70843198,6dmjbb8
"Pionýr, z. s. - Jihočeská krajská organizace Pionýra",70520046,pahrdh7
"Pionýr, z. s. - Krajská organizace Kraje Vysočina",70857105,gtt6t5f
"Pionýr, z. s. - Královéhradecká krajská organizace",70871141,twdr7rk
"Pionýr, z. s. - Moravskoslezská krajská organizace",70313008,8qqdh7s
"Pionýr, z. s. - Olomoucko-zlínská krajská organizace Pionýra",70435545,pzkcn9m
"Pionýr, z. s. - Pionýrská skupina 1.PTS Táborník Ml.Boleslav - pionýrské oddíly Středočeského kraje",68406703,7vf2sxm
"Pionýr, z. s. - Pionýrská skupina 14.TSP Zeměpisná společnost ""Po cestách vlasti""",64327272,ahpap85
"Pionýr, z. s. - Pionýrská skupina Akademie sportu",03936546,ipn4hr2
"Pionýr, z. s. - Pionýrská skupina Beroun - Závodí",47559535,grxb76r
"Pionýr, z. s. - Pionýrská skupina Bokouš",68247745,qks8ynd
"Pionýr, z. s. - Pionýrská skupina Březová",68782527,gi8e4h6
"Pionýr, z. s. - Pionýrská skupina des. St. Roubala Habartov",68782519,guygmvb
"Pionýr, z. s. - Pionýrská skupina Dobruška",68210876,en52itp
"Pionýr, z. s. - Pionýrská skupina Dravci",70693501,9x6zibb
"Pionýr, z. s. - Pionýrská skupina dr. Mirko Očadlíka",67029698,he4k3uf
"Pionýr, z. s. - Pionýrská skupina Expedice",11698195,gy6jbpe
"Pionýr, z. s. - Pionýrská skupina Fráni Šrámka",64812588,nxxyqnb
"Pionýr, z. s. - Pionýrská skupina Holýšov",65571509,ndnz8q3
"Pionýr, z. s. - Pionýrská skupina Hraničář Červená Voda",68247702,2shatnz
"Pionýr, z. s. - Pionýrská skupina Hrádek",18244335,iupztf6
"Pionýr, z. s. - Pionýrská skupina Ještěr",48808938,zbdpmyu
"Pionýr, z. s. - Pionýrská skupina Jince",68420072,k5q7duq
"Pionýr, z. s. - Pionýrská skupina Jindřichův Hradec",42408903,5z2jm2s
"Pionýr, z. s. - Pionýrská skupina Jitřenka Kaliště",60860863,2rhtrye
"Pionýr, z. s. - Pionýrská skupina J.Á.Komenského",45210080,xc6mchf
"Pionýr, z. s. - Pionýrská skupina Kamarádi cest Okříšky",60419636,k38qhre
"Pionýr, z. s. - Pionýrská skupina Kamarádi",64810305,zz2cwqq
"Pionýr, z. s. - Pionýrská skupina Kamarád",65803990,uwrampt
"Pionýr, z. s. - Pionýrská skupina Kamýk nad Vltavou",68420056,y9aw4ce
"Pionýr, z. s. - Pionýrská skupina Kaplice",60630469,5ta8frc
"Pionýr, z. s. - Pionýrská skupina Klubovna Čtrnáctka",65792858,q5ygm35
"Pionýr, z. s. - Pionýrská skupina Koloušci",60860804,62jzptm
"Pionýr, z. s. - Pionýrská skupina Kolo Koloveč",65571517,6qjcq34
"Pionýr, z. s. - Pionýrská skupina Kopeček",63028239,czupqhh
"Pionýr, z. s. - Pionýrská skupina Kunovice",68687583,wxpfhkr
"Pionýr, z. s. - Pionýrská skupina Libochovice",68429282,dpr76ww
"Pionýr, z. s. - Pionýrská skupina Miloše Sýkory",44941188,z34pdqd
"Pionýr, z. s. - Pionýrská skupina Mladých požárníků Obora",49748131,qap8dua
"Pionýr, z. s. - Pionýrská skupina Mláďata",68213999,wsyj27s
"Pionýr, z. s. - pionýrská skupina Modelářské centrum MB",68406711,tsg3vhw
"Pionýr, z. s. - Pionýrská skupina MOV",65667646,q4a72th
"Pionýr, z. s. - Pionýrská skupina Mír Domažlice",66365422,wng52qd
"Pionýr, z. s. - Pionýrská skupina Nepomuk",49182226,3qya9bw
"Pionýr, z. s. - Pionýrská skupina Nymburk 2",66751233,kdmkt2r
"Pionýr, z. s. - Pionýrská skupina Obránců míru Chropyně",67006566,4aqehmv
"Pionýr, z. s. - Pionýrská skupina Otava Sušice",66344697,vsiztu9
"Pionýr, z. s. - pionýrská skupina Pionýr Řečkovice",62156446,446pkn3
"Pionýr, z. s. - Pionýrská skupina Plši",64601501,zxm9qiy
"Pionýr, z. s. - Pionýrská skupina Podskalák",02387018,9ss8cbr
"Pionýr, z. s. - Pionýrská skupina Polička",65189281,99r3djm
"Pionýr, z. s. - Pionýrská skupina Přátelství",62727559,3uti5nq
"Pionýr, z. s. - Pionýrská skupina Přátelství, Pardubice",65667514,sxbcip8
"Pionýr, z. s. - Pionýrská skupina Ralsko",71245758,mzpj27w
"Pionýr, z. s. - Pionýrská skupina Restart",03936465,gh93i8x
"Pionýr, z. s. - Pionýrská skupina Rozmarýn v likvidaci",68429746,vbthepq
"Pionýr, z. s. - Pionýrská skupina Směr",44941234,stwh7m2
"Pionýr, z. s. - Pionýrská skupina Spartakovci",64328589,xg5xb3f
"Pionýr, z. s. - Pionýrská skupina Trojlístek Strašice",02382334,r4ia487
"Pionýr, z. s. - Pionýrská skupina Tužíňáci",68974698,447jpyi
"Pionýr, z. s. - Pionýrská skupina T.O. Mešnice",67024815,jh79qjp
"Pionýr, z. s. - Pionýrská skupina Táborník",64810275,rd8x58k
"Pionýr, z. s. - Pionýrská skupina Veteráni Kladno",68999551,dyczytg
"Pionýr, z. s. - Pionýrská skupina Vysočina Svitavy",69170509,ce7ziac
"Pionýr, z. s. - Pionýrská skupina Výsadkáři 8280",03936198,mwny72f
"Pionýr, z. s. - pionýrská skupina Výři",68983590,pr7cinw
"Pionýr, z. s. - Pionýrská skupina Zliv",67188931,9gggt7z
"Pionýr, z. s. - Pionýrská skupina Zlínská Radooost",09828656,tb23ds8
"Pionýr, z. s. - Pionýrská skupina Záře",68379293,br5euvf
"Pionýr, z. s. - Pionýrská skupina  Jevíčko",69175462,952s8ts
"Pionýr, z. s. - Pionýrská skupina  PASKOV",68157991,zvxipum
"Pionýr, z. s. - Pionýrská skupina  POHODA",69170347,3q22ghq
"Pionýr, z. s. - Pionýrská skupina  Šenov",68158017,ds8mvxk
"Pionýr, z. s. - Pionýrská skupina ""speciálních sil AČR""",69001928,t624hu7
"Pionýr, z. s. - Pionýrská skupina - KATAMARÁN",69387982,mn5ycem
"Pionýr, z. s. - Pionýrská skupina Čestice - Podlesáci",65956524,33yejnx
"Pionýr, z. s. - Pionýrská skupina Čápata",26578191,szu6yis
"Pionýr, z. s. - Pionýrská skupina Čáslav",68999283,zvr7d58
"Pionýr, z. s. - Pionýrská skupina Šumperk",68922973,ngcc86m
"Pionýr, z. s. - Plzeňská krajská organizace Pionýra",70856371,458t4ka
"Pionýr, z. s. - Pražská organizace Pionýra",00536849,fwgdsn8
"Pionýr, z. s. - Středočeská krajská organizace Pionýra",70567255,yf9czku
"Pionýr, z. s. - Ústecká krajská organizace Pionýra",70693862,nvkc28k
"Pionýr, z. s.",00499161,u36ia36
"Pionýr,  z. s. - 61. pionýrská skupina Paprsek",69059039,gm2dhd3
