Datum,Počet
2022-04-09,92
2022-04-10,92
2022-04-11,92
2022-04-12,94
2022-04-13,94
2022-04-14,96
2022-04-15,96
2022-04-16,96
2022-04-17,96
2022-04-18,96
2022-04-19,98
2022-04-20,98
2022-04-21,98
2022-04-22,98
2022-04-23,98
2022-04-24,98
2022-04-25,98
2022-04-26,98
2022-04-27,98
2022-04-28,99
2022-04-29,99
2022-04-30,99
2022-05-01,99
2022-05-02,100
2022-05-03,100
2022-05-04,100
2022-05-05,100
2022-05-06,100
2022-05-07,100
2022-05-08,100
2022-05-09,107
2022-05-10,107
2022-05-11,107
2022-05-12,107
2022-05-13,108
2022-05-14,108
2022-05-15,108
2022-05-16,108
2022-05-17,108
2022-05-18,108
2022-05-19,110
2022-05-20,110
2022-05-21,111
2022-05-22,111
2022-05-23,111
2022-05-24,111
2022-05-25,111
2022-05-26,111
2022-05-27,111
2022-05-28,111
